Region,Installation,RPUID,Asset_Name,build_dt,RM,Sustainment,FCI,ICI,Visit Date,Net_Profit,Population,Profit_per_pop,ConditionCombo,ICI_Exist,Q-Rating
MCIEAST,MCAS Beaufort,1156228,PREMIUM GASOLINE @ EXCHANGE,1/1/2003,2455.00,9521.40,95,80,1/23/2013,,4000,,80,Y,Q1
MCIEAST,MCAS Beaufort,1156229,UNLEADED GASOLINE @ EXCHANGE,1/1/2003,2455.00,9521.40,95,,,,4000,,95,N,Q1
MCIEAST,MCAS Beaufort,1300242,LOADING DOCK @ MCX,1/31/2017,0.00,155.86,100,,,,4000,,100,N,Q1
MCIEAST,MCAS Beaufort,1300246,FUEL DISPENSING CANOPY @ MCX,1/31/2017,0.00,614.29,100,,,,4000,,100,N,Q1
MCIEAST,MCAS Beaufort,1300248,FUEL DISPENSING TANK @ MCX,1/31/2017,0.00,12468.00,100,,,,4000,,100,N,Q1
MCIEAST,MCAS Beaufort,1300249,FUEL DISPENSING TANK @ MCX,1/31/2017,0.00,5195.00,100,,,,4000,,100,N,Q1
MCIEAST,MCAS Beaufort,1300267,7 DAY STORE ELECTRONIC SIGN,7/1/2003,0.00,166.85,100,,,,4000,,100,N,Q1
MCIEAST,MCAS Beaufort,1300268,MCCS EVENTS ELECTRONIC SIGN,7/1/2003,0.00,166.85,100,,,,4000,,100,N,Q1
MCIEAST,MCAS Beaufort,1340325,AFTERBURNERS SIGN,9/17/2018,102.95,166.85,99,,,,4000,,99,N,Q1
MCIEAST,MCAS Beaufort,31834,TEMPORARY LODGING FAC ADD,8/13/2002,709908.60,59362.83,88,,,,4000,,88,N,Q1
MCIEAST,MCAS Beaufort,32484,O CLUB STORAGE,1/1/1991,16310.85,8503.18,93,,,,4000,,93,N,Q1
MCIEAST,MCAS Beaufort,32912,MCCS CARWASH,11/1/2001,9202.38,3057.14,92,,,514947.44,4000,128.73686,92,N,Q1
MCIEAST,MCAS Beaufort,34775,BATHHOUSE,7/1/1967,145776.32,25406.46,86,,8/2/2016,157397.61,4000,39.3494025,86,N,Q1
MCIEAST,MCAS Beaufort,34781,MWR LOCATION EXCHANGE,7/5/1995,251896.40,48595.65,88,,,17191221.93,4000,4297.805483,88,N,Q1
MCIEAST,MCAS Beaufort,34792,MCCS LB CAR WASH,2/3/2007,16090.69,2915.75,87,,,244142.7,4000,61.035675,87,N,Q1
MCIEAST,MCAS Beaufort,35735,EXCHANGE CENTRAL WAREHOUSE,3/1/1975,115545.94,6819.22,83,,,,4000,,83,N,Q1
MCIEAST,MCAS Beaufort,548411,BOQ,10/31/1955,3939278.59,304065.20,77,,,,4000,,77,N,Q2
MCIEAST,MCAS Beaufort,548413,AFTERBURNERS EM CMMNITY CLB AND SUBWAY,7/1/1956,308918.43,44511.97,88,95,8/4/2016,-158724.37,4000,-39.6810925,95,Y,Q1
