region,installation,RPUID,use_code,use_desc,fac_use,naf_cat,op_activity,fac_num,facility_desc,asset_name,fci,fci_dt,build_dt,q_rating,total_measure,alt_total_measure,other_total_measure,other_unit_measure,fac_area_measure,prv,sus,RM,use_pct_area,RM_corrected,recap_cycle
MCIEAST,MCAS Cherry Point,18355,74004,EXCHANGE / MWR FOOD SERVICE,EXCH/ MWR FOOD SVC / CAT-C,C,Food & Beverage (Direct),4210,Exchange Eating Facility,(CLC-21) AIR PASSENGER TERMINAL (MCCS),89,2016-02-01,1989-02-01,Q2,478,0,0,,19032,7298368,3410.6,193627.1627,0.025115595,4863.061359,7
MCIEAST,MCAS Cherry Point,19514,73013,ISSUE / RETAIL CLOTHING AND UNIFORM CENTER,SAFETY STORE / CAT-C,C,Exchange Operations,150,Clothing Sales Store,(DLA/MCCS/BAND) GEN WHSE/BULK,96,2017-04-03,1943-07-01,Q1,2748,0,0,,116163,41861333,11566.32,1110589.537,0.023656414,26272.56568,13
MCIEAST,MCAS Cherry Point,19514,74086,EXCHANGE INSTALLATION WAREHOUSE,EXCH INST WHSE / CAT-C,C,Exchange Operations,150,Exchange Warehouse,(DLA/MCCS/BAND) GEN WHSE/BULK,96,2017-04-03,1943-07-01,Q1,17855,0,0,,116163,41861333,44295.9,1110589.537,0.15370643,170704.7526,11
MCIEAST,MCAS Cherry Point,21073,74001,EXCHANGE RETAIL STORE,LOCATION EXCHGE / CAT-C,C,Exchange Operations,293,Exchange Sales Facility,(MCCS) 7 DAY STORE,83,2016-01-28,1942-05-20,Q2,10747,0,0,,29086,9617456,37372.22,255153.0312,0.369490477,94276.61507,7
MCIEAST,MCAS Cherry Point,21073,74009,"EXCHANGE SERVICE OUTLETS (BARBER, UNIFORM, ETC)",BARBER SHOP / CAT-C,C,Exchange Operations,293,Exchange Sales Facility,(MCCS) 7 DAY STORE,83,2016-01-28,1942-05-20,Q2,2057,0,0,,29086,9617456,7153.13,255153.0312,0.070721309,18044.75642,13
MCIEAST,MCAS Cherry Point,21073,74085,EXCHANGE DISTRIBUTION CENTER ( WAREHOUSE),MCCS / CAT-C,C,Exchange Operations,293,Exchange Warehouse,(MCCS) 7 DAY STORE,83,2016-01-28,1942-05-20,Q2,4027,0,0,,29086,9617456,9990.46,255153.0312,0.138451489,35326.31701,11
MCIEAST,MCAS Cherry Point,21282,74038,MWR AUTO SKILLS CENTER,,B,Marine & Family Programs,4243,Automobile Craft Center,(MCCS) AUTO HOBBY SHOP,72,2016-02-03,1987-05-09,Q3,2437,0,0,,2437,202175,7337.73,5363.743185,1,5363.743185,10
MCIEAST,MCAS Cherry Point,21283,74038,MWR AUTO SKILLS CENTER,,B,Marine & Family Programs,4244,Automobile Craft Center,(MCCS) AUTO HOBBY SHOP,81,2016-01-20,1987-05-09,Q2,1013,0,0,,1013,84039,3050.11,2229.571478,1,2229.571478,10
MCIEAST,MCAS Cherry Point,19069,74038,MWR AUTO SKILLS CENTER,HOBBY SHOP - AUTOMOTIVE,B,Marine & Family Programs,4652,Automobile Craft Center,(MCCS) AUTO SKILLS CENTER,89,2016-01-28,2003-09-02,Q2,8668,0,0,,8668,719102,26099.07,19077.91988,1,19077.91988,10
MCIEAST,MCAS Cherry Point,21139,75020,PLAYING FIELDS,PLAYING FIELDS,B,Semper Fit Programs,4394,Athletic Field,(MCCS) BALL FIELD (BLUE),93,2015-08-20,1992-08-08,Q1,0,0,1,EA,1,1468497,7947.66,38959.51911,1,38959.51911,6
